ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA20787:NA20787	0.065	0.0052	0.0444	0.0085	-0.0387	0.0433	-0.049	-0.0113	0.0279	-0.0445	-0.0059	0.0612	0.0782	-0.0347	0.1195	0.0202	-0.0192	0.039	-0.0387	-0.0866
NA20790:NA20790	0.0237	-0.0334	0.0592	-0.0715	0.0497	0.0595	0.0062	-0.0116	-0.1371	-0.0429	0.0232	-0.0797	-0.0421	-0.0436	0.0125	0.0267	0.0124	-0.0195	0.0374	-0.0545
NA20792:NA20792	0.0455	-0.1022	-0.0075	-0.0196	-0.0297	0.0475	0.0424	0.0326	0.0125	0.0547	-0.009	-0.0289	0.0252	-0.0639	9e-04	-0.0056	0.0478	0.0612	-0.0193	0.101
NA20795:NA20795	0.0648	-0.0079	-0.0358	0.0107	-0.0857	-5e-04	-0.048	-0.0713	0.0541	0.0522	0.0217	0.0433	-0.0093	-0.0379	-0.0213	0.0684	0.1042	-0.0102	0.1515	-0.0472
NA20796:NA20796	0.0648	-0.0721	-0.0714	-0.0261	-0.0866	-0.009	0.0709	0.0235	0.0516	0.0689	-0.0615	0.0249	-0.0844	0.0279	0.0775	-0.1382	0.0049	0.0151	-0.0213	0.0377
NA20797:NA20797	0.0117	-0.0074	0.0542	-0.033	0.084	0.0297	0.0017	0.0301	-0.064	-0.0275	0.0279	-0.0998	-0.0327	0.0651	-0.0239	0.0814	0.017	0.0266	0.0135	-0.0883
NA20798:NA20798	-0.0028	0.1289	0.0792	-0.0588	-0.0236	-3e-04	0.0929	0.1237	0.0609	0.0124	-0.1082	0.0849	0.0199	-0.1233	-0.0463	0.053	0.0226	0.0246	0.0656	-0.0447
NA20799:NA20799	0.0478	0.0793	-0.0305	-0.0033	0.0013	-0.0045	0.0415	0.0405	0.0203	-0.0288	0.0834	-0.0769	0.0551	-0.0071	-0.008	0.0313	-0.103	0.0263	0.0159	-0.0051
NA20800:NA20800	0.0356	-0.057	0.138	0.0132	-0.0054	0.0047	-0.055	-0.0443	-0.0722	0.0263	0.0371	-0.0984	0.0255	-0.0739	0.0412	0.0367	-0.0061	-0.0162	-0.0158	0.0218
NA20801:NA20801	0.0224	0.0465	0.0365	0.0092	-0.019	0.0069	0.0454	0.0496	0.0782	-0.0628	-0.0044	-0.0223	0.0321	-0.0642	-0.0191	-0.0274	0.1036	-0.0618	0.114	0.0725
NA20802:NA20802	0.0329	0.0481	-0.0589	-0.0686	-0.0358	0.0056	0.0796	-0.0154	-0.1158	-0.0057	-0.0356	-0.0369	-0.0501	0.0205	-0.0304	-0.0316	0.0337	-0.1072	-0.1017	-0.0859
NA20803:NA20803	0.0566	-0.0394	0.0311	-0.0077	0.073	0.0238	-0.017	-0.0372	0.0165	-0.0039	-0.0156	-0.0744	0.0043	-0.0094	-0.0305	-0.0569	-0.0614	-0.0525	-0.0261	0.0856
NA20804:NA20804	0.0578	-0.0759	-0.0282	0.025	-0.0551	-0.0064	0.0095	0.0247	0.0269	-0.0495	0.05	-0.0062	-0.0444	0.0043	0.0906	-0.0316	-0.0118	0.0425	0.0568	-0.0241
NA20805:NA20805	0.0424	0.0169	0.0745	0.0251	-0.0282	0.0906	0.0099	-0.0205	0.0479	0.0104	-0.0139	0.0551	0.026	0.0675	0.0269	-0.0113	0.0112	-0.0017	-0.0606	0.0135
